"Name","Address","Group","Notes","Gender","Ethnicity","Date.Opened","Date.Closed","yrOpen","yrClose","decadeOpen","decadeClose","singleOut","lon","lat","decade"
"Amber Room (a.k.a. “Steve’s”)","3700 14th St NW Washington DC","Club/Bar","The Amber Room was located below the Spring Road Café (a building once known for its purple exterior).  Steve's was one of the few women's bars in the 60s.  Women gathered there on weekend evenings.  The clientele was “very” integrated.","","","1964","1970-71 (?)","64","71",1960,1970,"",-77.033021,38.9373126,"1960"
"Boston Buffet","417 9th St NW Washington DC","Club/Bar","Across the street from Carroll’s, a popular restaurant and bar known for its cheap drinks, with peanut shells on the floor.  The bouncer, Donna, was a “tough diesel dyke”—Kip.  Owned by Spiro Dides.","","","1954","1973","54","73",1950,1970,"",-77.0239953,38.8955851,"1960"
"Famous Restaurant","1215 New York Ave NW Washington DC","Club/Bar","Listed for one year in International Guild Guide.  Likely the same establishment known as Famous Faces.   (See entry for Dollie’s; Famous Faces.)","","","1966 (?)","1966 (?)","66","66",1960,1960,"",-77.0285191,38.9006583,"1960"
"Saunders Health Center","2105 12th St NW Washington DC","Club/Bar","Reportedly a gay-friendly health club which started as a Turkish bath in 1954.","","","1954","1975","54","75",1950,1970,"",-77.027964,38.9183908,"1960"
"Silver Fox","5324 Wisconsin Ave NW Washington DC","Club/Bar","Owner John Dracopoulos","","","1956","1974","56","74",1950,1970,"",-77.0853897,38.960105,"1960"
"Terminal Hotel","1225 New York Ave Washington DC","Club/Bar","Hotel rooms above the Naples Café rented by the hour for 'short term assignations'.   Used by gay sex workers.  Owner:  Nick Papanicolas","","","1955","1985","55","85",1950,1980,"",-77.0287163,38.900822,"1960"
"Hubbard House","1900 M St NW Washington DC","Club/Bar","Restaurant frequented by gay men, after hours club. Originally part of a chain with five restaurants.  The  M St location opened about 1964. Rob Adams manager.","M","","1964","1974","64","74",1960,1970,"",-77.0438864,38.905365,"1970"
"Brass Rail","811 13th St NW Washington DC","Club/Bar","Started out as ""New York style"" restaurant at 517 9th St NW in 1966.  On 13th St., started in the basement and didn't move upstairs until the late 60s. First address was 809 13th St. Later became 811 13th St NW. It was one of the main African-American drag bars.  It replaced what was originally a biker, then country/western basement bar.  Owners: Gus Papanicolas, Theo Christakos, Greg Cahill, G W Glenn in 1967.  Brass Rail had moved upstairs by 1973 when Gus Papadopoulos was running the place.  The Railettes were an in-house drag entertainment group.  Just Us:  “The Brass Rail is a downtown bar and restaurant near the downtown shopping areas and the bus terminals.  It has table seating for up to 100 people.  The crowd is male with mixed backgrounds.”","M","African-American","1961","1986","61","86",1960,1980,"",-77.0295885,38.9003187,"1970"
"Curiosity Bookstore","1219 I St NW Washington DC","Community Site","Bookshop for gay books and porn.  Owner:  Lester Randolph","M","African-American","1977","1985","77","85",1970,1980,"books",-77.0288951,38.9013241,"1970"
"Delta Elite","3734 10th St NE Washington DC","Club/Bar","Long-running major after-hours dance club in Brookland area.","M","African-American","May-76","?","76","",1970,1970,"",-76.993797,38.936441,"1970"
"Key","700 T St NW Washington DC","Club/Bar","","M","African-American","11/1/1972","?","72","",1970,1970,"",-77.021929,38.915572,"1970"
"La Zambra","1406 14th St NW Washington DC","Club/Bar","La Zambra was a major drag and dance spot on the 14th St strip; also called ""Lucy's"" after Lucy who often bar-walked, to the delight of patrons.  ""It was a good place to dance”—Christopher Prince","M","African-American","1970","Jun-84","70","84",1970,1980,"",-77.0322966,38.9091747,"1970"
"Last Picture Show","700 Massachusetts Ave NW Washington DC","Club/Bar","Showed gay porn films--Michael Sainte-Andress","M","African-American","1970","?","70","",1970,1970,"",-77.0218493,38.9021338,"1970"
"Micky's Bar & Lounge","1362 H St NE (upstairs) Washington DC","Club/Bar","African-American bar, opened with Shadrock band","M","African-American","6/21/1973","?","73","",1970,1970,"",-76.992468,38.899977,"1970"
"Nob Hill Restaurant","1101 Kenyon St NW Washington DC","Club/Bar","One of the longest continuously operating gay bars in the city, and one of the oldest African-American gay bars in the country.  Reportedly operated as private club from 1953-1957. ""Its start as a private club helps explain why it is located in a mostly residential neighborhood in Columbia Heights.""--Brett Beemyn.  Owners: James E. Jones, Leonard Kelly, Wayne Hill, Riley Campbell, and Robert Jones. Later bought by Robert Jones, who started here in 1981.  Hosted first AIDS forum in the African-American community.  One of the major sites for African-American drag shows.  Hosted male strip shows on weekends.","M","African-American","1957","2/1/2004","57","04",1950,2000,"nobHill",-77.0279377,38.9299362,"1970"
"Manuel's Number 2","2463 18th St NW Washington DC","Club/Bar","","M","Latino","1971","?","71","",1970,1970,"",-77.0421439,38.9220909,"1970"
"Dolly's Restaurant","1215 New York Ave NW Washington DC","Club/Bar","Part of the bus station scene, with drag shows.  Glenn Turner, manager,  Sanford Bornstein, owner.  Just Us:  “Dolly’s features dancing, and both male and female go-go dancers.  Sunday brunch and monthly drag shows and contests are two of dolly’s attractions.  The patrons are mostly male, any age over 18, and about fifty percent gay… Admission is 50 cents weekdays and 75 cents weekends.”","M","Mixed","1969","1979","69","79",1960,1970,"",-77.0285191,38.9006583,"1970"
"1832 House","1832 Columbia Rd NW Washington DC","Club/Bar","Popular Adams Morgan club in the early 70s; chicken wire on the balcony 'screened' standing drinkers.  Owned/managed by Kirby Matson.","M","","1966","1973","66","73",1960,1970,"",-77.0431137,38.9217836,"1970"
"915 Health Club","915 12th St NW Washington DC","Club/Bar","","M","","4/1/1976","?","76","",1970,1970,"",-77.0280564,38.9014883,"1970"
"Annex","812 13th St NW Washington DC","Club/Bar","Part of the bus station club 'strip' in the 70s.   Across the street from the Brass Rail.  James Singleton, manager (1973)","M","","4/1/1972","1974 (?)","72","74",1970,1970,"",-77.029589,38.9004009,"1970"
"Astoria Arms","809 14th St NW Washington DC","Club/Bar","Short-lived as a gay bathhouse; also offered entertainment","M","","5/1/1979","1982","79","82",1970,1980,"",-77.0318916,38.9004536,"1970"
"Bachelor's Mill","500 8th St SE Washington DC","Club/Bar","The Mill followed Club Madame at this location (see entry for Club Madame). Owner: BB Gatch.  Arson attack in February 1981.","M","","12/1/1978","Sep-84","78","84",1970,1980,"",-76.9947021,38.8825763,"1970"
"Barbary Coast","2412 Wisconsin Ave NW Washington DC","Club/Bar","","M","","1/1/1977","Jun-77","77","77",1970,1970,"",-77.0725053,38.9213831,"1970"
"Barn","811 Pennsylvania Ave NW Washington DC","Club/Bar","Part of same complex as Louie's and the Hideaway.  Top floor.  Had drag shows (Out:  “The Guys are Dolls Review”) Fri & Sat, country & western.  Replaced by the Rogue.  Started the Stardust Review in 1973.  From Just Us:  “With dancing to taped music or a juke box, female impersonator shows on weekends at 10:30 pm and a Sunday sing-along from 8:00 pm to 1:00 am, the Barn has undergone a renaissance in the past several months and is one again one of DC’s most popular bars.  There is a fee of one dollar for the show.  The crowd is predominantly gay male…”","M","","6/1/1971","1979","71","79",1970,1970,"",-77.0238407,38.8938418,"1970"
"Ben Bow  Restaurant (The Admiral Ben Bow)","1636 Connecticut Avenue NW Washington DC","Club/Bar","Next to the Janus Theatre, a straight bar frequented by gays, sawdust on the floor.  First owner: Spirios Kyritis.  An Irish bar run by a woman named Ellen after 1970.  Sawdust and peanut shells on the floor.  Also called the ‘Bimbo”; it was a step down from other places.  Later called Ellen’s Irish Pub.","M","","1948","1980","48","80",1940,1980,"",-77.0453127,38.9121431,"1970"
"Blue Plains Dance Palace","1345 Half St SE Washington DC","Club/Bar","Disco club","M","","11/1/1977","Jun-78","77","78",1970,1970,"",-77.0074621,38.8753783,"1970"
"Boondocks Restaurant","818 K St NW Washington DC","Club/Bar","Offered ""Entertainment & dancing nightly.”  One of the first distributors of the Gay Blade.","M","","1969","1972","69","72",1960,1970,"",-77.0231463,38.9021076,"1970"
"Carroll Tavern","510 9th St NW Washington DC","Club/Bar","Carroll's ""catered to a particular gay taste for sailors, soldiers, and marines, and to the armed services' fancy for a free weekend of entertainment.""-Havilland Ferris. ""In contrast to the genteel atmosphere of Margaret's and Showboat was a bar on 9th street, a rough trade hangout.  Servicemen were very poorly paid at the time and many of them made very aggressive trade.""--Ladd Forrester.  ""On weekends the place was packed with servicemen from the Army, Marines, and especially the Navy.  A lot of servicemen went there to be picked up; civilians went there to pick them up and take them home for a weekend.  In a sense, you gave them room and board."" -- Brett Beemyn.  Owner: Solomon Chesivoir","M","","1934","1986","34","86",1930,1980,"",-77.0239915,38.8967633,"1970"
"Champagne Room","1300 H St NW Washington DC","Club/Bar","Added drag shows to attract a gay clientele in January 1970 according to the Blade","M","","1/1/1970","1970","70","70",1970,1970,"",-77.0303461,38.9000198,"1970"
"Chapter II","900 First St SE Washington DC","Club/Bar","A dance bar favored by some of the black social clubs.  (See also entries for Chapter III; Grand Central; Marty’s.)","M","","2/1/1977","?","77","",1970,1970,"",-77.0058968,38.8792734,"1970"
"Chesapeake House","746 9th St NW Washington DC","Club/Bar","Owner: John Rock.  One of the last 9th St bars to close, one of the first to feature nude dancers.  Manager John Tonelli murdered in 1978.  A dancer at the Chesapeake was involved in Congressman Robert Bauman's exposure as a gay man.","M","","12/1/1975","9/20/1992","75","92",1970,1990,"",-77.0240011,38.8995988,"1970"
"Chesapeake Inn","3040 M St NW Washington DC","Club/Bar","Gay-oriented hotel.","M","","1972","?","72","",1970,1970,"",-77.0604636,38.904961,"1970"
"Chicken Hut (Lafayette)","1720 H St NW Washington DC","Club/Bar","Named the Lafayette Chicken Hut to avoid infringing the name of a chain of local restaurants, but always known as the Chicken Hut. Ladd Forrester: ""Eventually the Chicken Hut opened across from Lafayette Square, drawing the pianist Howard away to play there instead.  Howard played there seven nights a week until one night, in the mid-1970s, he died at the bar's keyboard."" Behind the Roger Smith hotel.  ""It was the center of gay social life in the late 40s and 50s.  On Fridays and Saturdays, the place was 'packed to the rafters'.""--Brett Beemyn.  ""It was the Chicken Hut, at 1720 H St NW.  They had (bi?) weekly Sunday afternoon dances during the winter of 1961-62.  To the best of my knowledge, no special license was needed, but I'm not sure.""--Franklin E Kameny.","M","","1948","1970","48","70",1940,1970,"",-77.0405164,38.9002186,"1970"
"Cinema Follies","37 L St SE Washington DC","Club/Bar","Bar with nude dancers.  A disastrous fire 10/24/77 killed 9 people.  Led DCFD to check all clubs' fire safety.  Court case led to fines of owner, Bill Oates.","M","","11/1/1975","Oct-77","75","77",1970,1970,"",-77.0080874,38.8772374,"1970"
"Circus","1823 L St NW Washington DC","Club/Bar","Dance club in the basement of Anthony House Hotel","M","","12/1/1977","?","77","",1970,1970,"",-77.0426698,38.9040172,"1970"
"Club 55","55 K St SE Washington DC","Club/Bar","Club 55 was home to Academy Awards presentations on Sunday evenings.  By day and other weekdays, Club 55 was a straight stripper bar.  Mame Dennis started Sunday Club 55 Playgirls show in the early 90s with LaLa Maharis, Blair Michaels, Diana Spencer, and Victoria Sterling.  Playgirls lasted through early 1997.  (See also entry for Waaay Off Broadway.)","M","","1970","?","70","",1970,1970,"",-77.0073212,38.8784055,"1970"
"Club Applause","1214 Connecticut Ave NW Washington DC","Club/Bar","Advertised itself as the ""first gay nightclub""","M","","9/1/1972","?","72","",1970,1970,"",-77.0412654,38.9057738,"1970"
"Club de Sade","1420 M St NW Washington DC","Club/Bar","Leather club","M","","8/1/1976","?","76","",1970,1970,"",-77.0329897,38.9070896,"1970"
"Club Manx","2913 M St NW Washington DC","Club/Bar","Gay membership club","M","","1978","?","78","",1970,1970,"",-77.058637,38.905505,"1970"
"Club Washington Bath II","20 O St SE Washington DC","Club/Bar","Also known as Club East II; Club Washington; Club Baths of Washington.  The only bathhouse to survive the 1980s.  Just Us:  “The DC branch of the well-known Club Bath chain is open to members 24 hours a day.  Special features include a sauna room, a sundeck, a TV lounge, a snack bar, and private rooms for relaxing.”  Out (1977) listed Tuesdays as “Levi/Leather Nite.”","M","","6/1/1972","Mar-06","72","06",1970,2000,"",-77.009877,38.908314,"1970"
"Court Jester","812 13th St NW Washington DC","Club/Bar","Blade: ""has five female impersonators, breakfast shows, buffets, and such … ""  Later moved to 2321 Wisconsin Ave NW","M","","5/1/1970","Nov-76","70","76",1970,1970,"",-77.029589,38.9004009,"1970"
"Court Jester","2321 Wisconsin Ave NW Washington DC","Club/Bar","Relocation of the downtown Court Jester.","M","","11/22/1976","1979","76","79",1970,1970,"",-77.0718226,38.9207502,"1970"
"Cy's","2412 Wisconsin Ave NW Washington DC","Club/Bar","Western, levi-leather in upper Georgetown","M","","6/1/1977","Feb-85","77","85",1970,1980,"",-77.0725053,38.9213831,"1970"
"Firehouse","427 11th St NW Washington DC","Club/Bar","Gay friendly restaurant, advertised in the Gay Blade.  RGM Storey, owner (1973)","M","","1970","1974","70","74",1970,1970,"",-77.0268407,38.8956411,"1970"
"Follies","24 O St SE Washington DC","Club/Bar","Owners: Edward Dawson, Martin Crowetz.  Manager Wilson Fitzsimmons. Indicted as 'bawdy house' in November 1992.  One of many SE gay establishments shuttered for construction of the Washington Nationals ballpark.","M","","10/1/1978","Mar-06","78","06",1970,2000,"",-76.970084,38.848158,"1970"
"Fox Lounge","3553 Mt Pleasant St NW Washington DC","Club/Bar","Mixed genders, mostly African-American and Latino club in Mt Pleasant area.  Alley area behind it was 'notorious'.  Owner: Mrs. Frances Fox.  Just Us:  “Serving meals, sandwiches and drinks in a lounge atmosphere, the Fox Lounge is predominantly a black male-oriented bar for people over 21.  Music is provided by a jukebox.  No dancing, no cover.”","M","","1958","1972","58","72",1950,1970,"",-77.0399696,38.935465,"1970"
"Fraternity House","2122 P St NW rear Washington DC","Club/Bar","Had nude dancers, karaoke, and experimented with 2nd floor restaurant and leather club.  Started Sorority Nights for women on Wednesdays in April 1995.  (See entry for Omega.)","M","","9/1/1976","Apr-97","76","97",1970,1990,"",-77.0475841,38.9094857,"1970"
"Georgetown Grill","1239 Wisconsin Ave NW Washington DC","Club/Bar","The Georgetown Grill was a gay haven in the 60s and the 70s.  Late night cruise spot.  Owner George Karafas.  Sold in 1977 to Au Pied du Cochon.  The Grill was also a performance space for the popular Red Shoes Walking troupe.  Judy, the very popular waitress/bartender, started working here in 1964 (she later worked at the Court Jester, Onyx, Cy's, and the Fireplace).  Just Us:  “One of DC’s standard gay bars, the Grill (or affectionately, Greta’s) features a jukebox in a crowded but quiet atmosphere which is easy for talking.  Drinks are notably reasonably priced.  A fine place to spend a weekend afternoon ‘window shopping’ the passersby on crowded Wisconsin Avenue, the heart of the Georgetown shopping district.  No cover, reservations, or dancing, but a steady regular crowd of loyal patrons, tourists, and college students, mostly male and all gay.  The ever popular Block is nearby.”","M","","1948","Feb-77","48","77",1940,1970,"",-77.0625875,38.9060842,"1970"
"Golden Calf","1133 14th St NW Washington DC","Club/Bar","On Thomas Circle.  Blade 1970: ""We'll miss the Calf, and will remember it and Billie with warm feelings.""  Owner: Morris Katz","M","","1963","May-70","63","70",1960,1970,"",-77.0315774,38.9047062,"1970"
"Hideaway","303 9th St NW Washington DC","Club/Bar","Also known as Lou's Hide-a-way. Leather bar.  Dr Franklin Kameny recalls, ""The building was at the corner of 9th and Pennsylvania and a street which came in at an angle and no longer exists, but was called Market Place and was an extension, at substantially the same angle, of Indiana Avenue …The entrance to the Hideaway was on 9th Street, and then downstairs; the bar was entirely in the basement of that building.  I believe that the Hideaway was still in operation when the FBI building opened, and I remember hearing stories of FBI agents and other FBI employees having lunch there, before it shifted over, each day, for its evening gay operation.""  Just Us:  “A small discotheque in its twelfth year of operation, the Hideaway has intimate tables, shuffleboard, pinball machines, and a jukebox for dancing.  This all contributes to its easy-going atmosphere.  Do cover, no reservations for this predominantly male and highly mixed bar.  One of DC’s standards.  Downstairs from Louie’s and the Barn.”  Out:  “D.C.’s grooviest corner.”","M","","1963","1983","63","83",1960,1980,"",-77.0239881,38.8940979,"1970"
"Horseshoe Saloon","430 8th St SE Washington DC","Club/Bar","Country & western bar on Capitol Hill.  Just Us:  “The Horseshoe is a Western bar with a whole Western atmosphere, including saddles for barstools.  The game room includes pinball and pool tables, and meeting space is available for meetings of Western and leather groups.  They feature a Sunday brunch from Noon to 4:00 pm, weekly movies, and a Happy Hour on weekdays.  There is no dancing and no cover charge.”","M","","1/1/75 (?)","?","75","",1970,1970,"",-76.994648,38.882875,"1970"
"Hunting Lodge","2122 P St NW rear Washington DC","Club/Bar","Second floor restaurant at Fraternity House","M","","1970","?","70","",1970,1970,"",-77.0475841,38.9094857,"1970"
"Janus Theatre 2","1600 Connecticut Ave NW Washington DC","Community Site","Owner: Martin Field.  The Janus in the early 1970s showed gay films and  adult films.  Bob Corbett, the Star Wars bandit, worked at the Janus while robbing theatres that were showing Star Wars; Corbett committed suicide in prison.","M","","1971","Mar-73","71","73",1970,1970,"",-77.044469,38.9111501,"1970"
"Johnnie's","500 8th St SE Washington DC","Club/Bar","Johnnie's was known for its year-round Christmas tree lights and decorations.  ""A singing bar.  Johnnie's had a mixed working-class and middle-class clientele.""--Brett Beemyn.  ""Johnny's goes way back.  It was here when I arrived in 1956, and those permanent Christmas decorations were there then""—Franklin Kameny.  “In addition to the tables, there were some booths along the sides.  The dance floor was in the back corner.  It also served as the stage for the monthly contest” –Peter Jefts.  It was nicknamed the “Tinsel Palace”. Owners: John & Josephine Nocente.","M","","1949","1974","49","74",1940,1970,"",-76.9947021,38.8825763,"1970"
"Keith's Theatre","619 15th St NW Washington DC","Community Site","The theatre was a favorite gathering place/hangout in the 20s, 30s, and 40s.  Jeb and Dash were often there.","M","","1914","1975","14","75",1910,1970,"",-77.0336162,38.898004,"1970"
"Last Hurrah","1415 22nd St NW Washington DC","Club/Bar","Straight club with many gay patrons (Bob Summersgill), preceded Badlands at location","M","","1977","1979","77","79",1970,1970,"",-77.048432,38.9090921,"1970"
"Last National Bank","900 K St NW Washington DC","Club/Bar","Disco bar","M","","2/1/1976","?","76","",1970,1970,"",-77.0246921,38.9022552,"1970"
"Le Salon","1401 H St NW Washington DC","Club/Bar","Located in the Casino Royale building, this was a porn shop and one of the last remnants of the 14th St. 'strip'.  It changed its name to General Male in 1987.","M","","5/1/1977","Jul-89","77","89",1970,1980,"",-77.0324354,38.900543,"1970"
"Life Raft","639 Pennsylvania Ave SE Washington DC","Club/Bar","Blade (June 71): ""That new Penn Ave bar … is the Life Raft.  Nicely decorated and with a big dance floor.""  Had a rubber ducky in a fountain.  ""It was a meeting place for the Rubber Duckies""   Had a drag show before it went country-western.""--Jim Wilder.  It was also known as “Mary’s”, after the owner.","M","","6/1/1971","1973","71","73",1970,1970,"",-76.9971304,38.8847121,"1970"
"Locker Room","2161 P St NW Washington DC","Club/Bar","Short-lived leather bar above P St Station","M","","1970","?","70","",1970,1970,"",-77.048592,38.90983,"1970"
"Lone Star Café/Beef House","504 9th St NW Washington DC","Club/Bar","Originally a steakhouse.  Reputedly the first place to offer nude male dancers.  Owner: Daniel Elias in 1965.","M","","1955","1986","55","86",1950,1980,"",-77.0239919,38.8965384,"1970"
"Lost & Found","56 L St SE Washington DC","Club/Bar","The Lost and Found opened in the Fall of 1971 and was almost immediately picketed by the newly formed Committee for Open Gay Bars because of racist and sexist carding policies designed to keep out African-Americans, women, and drag queens.  Original owners were Donn Culver and Bill Bickford.  It became one of the biggest discos in town.  Culver died in a fall from the roof.  Replaced by Quorum in 1991, the name was resurrected in 1993 when Quorum changed its name back to Lost and Found.  Replaced by the Edge.  Just Us:  “Quiet elegance in dining and décor with good disco music re the trademarks of the Lost and Found.  Live band Sunday at 3:00 pm for the tea dance.  No cover except on Halloween and New Year’s.  Reservations are definitely in order for dinner.  Men and women have separate bar areas with different atmosphere, but mingling is constant.  Free popcorn, old prices Tuesday through Thursday nights, pool tables are some special features.  (See also entry for Edge; Quorum; Wet; Zone.)","M","","10/1/1971","9/15/1991","71","91",1970,1990,"",-77.0082721,38.8775343,"1970"
"Louie’s","811 Pennsylvania Ave NW Washington DC","Club/Bar","Second address for Louis, but same building as above.","M","","1968","Aug-83","68","83",1960,1980,"",-77.0238407,38.8938418,"1970"
"Man's World","918 9th St NW Washington DC","Club/Bar","Gay porn, movies, cruising","M","","7/1/1977","1981","77","81",1970,1980,"",-77.0239839,38.9016978,"1970"
"Mark I","1222 H St NW Washington DC","Community Site","Adult bookstore owned by Dennis Pryba, associate of H. Lynn Womack, and supplied by Guild Press.  One of 5 adult bookstores carrying Guild Press’s line of adult male books and magazines.  (See also entries for Guild Press; Mark II; Village Books)","M","","1970","?","70","",1970,1970,"books",-77.0285621,38.8998156,"1970"
"Mark II Theatre","808 K St NW Washington DC","Community Site","The Mark II hosted Groovy Guy pageants in the early 1970s.  Blade: ""DC's first movie house featuring 'male art' flicks opened in late May."" H. Lynn Womack was an investor in the theatre which was supplied through Media Arts, a Guild Press subsidiary.  J.J. Proferes, owner of the Metropole Cinema, ran the Mark II.  (See also Guild Press; Mark I; Village Books.)","M","","5/1/1970","?","70","",1970,1970,"books",-77.0230347,38.9021083,"1970"
"Metropole Cinema","411 L St NW Washington DC","Club/Bar","Showed gay male porn films.  Opened next to the Regency Baths.  Owners: J.J. Proferes, Bill Oates.  Proferes would eventually be arrested on charges of obscenity and fraud.  Just Us:  “The Metropole is the first of the DC all-male movie theatres.  Membership is one dollar yearly and may be applied for with proper ID.  The main clientele is ‘gay and/or those that appreciate the beauty of the male body’.”  Continuous shows from noon to midnight.","M","","Mar-72","Oct-75","72","75",1970,1970,"",-77.0163994,38.9038982,"1970"
"Metropole Cinema","104 Rhode Island Ave NW Washington DC","Club/Bar","","M","","10/1/1975","1977","75","77",1970,1970,"",-77.012309,38.9156269,"1970"
"Morgan's","1811 Columbia Rd NW Washington DC","Club/Bar","","M","","1979","9/11/1983","79","83",1970,1980,"",-77.043565,38.922119,"1970"
"Mother's","800 E St NW Washington DC","Club/Bar","","M","","1970","?","70","",1970,1970,"",-77.0229749,38.8961294,"1970"
"Mr. P's","2147 P St NW Washington DC","Club/Bar","First gay club on the P St. strip. Patio behind the building. George Dotson and Gene Newsome first owners.  John Mako second owner.  Long tradition of drag shows.  Hostesses included Erica Kane, Xavier Bloomingdale, and Marilyn Monroe.  Upstairs bar called the Loft, Monday night leather crowd, Centaurs.","M","","3/1/1976","1/10/2004","76","04",1970,2000,"",-77.0482038,38.9098529,"1970"
"Mr. Z's Lounge","407 11th St NW Washington DC","Club/Bar","Blade December 1970: ""It's got a plush and cozy atmosphere …""","M","","11/1/1970","?","70","",1970,1970,"",-77.0270148,38.8948138,"1970"
"Naples Café","1209 New York Ave NW Washington DC","Club/Bar","Part of the bus station scene.  A ""hustler bar"", The Terminal Hotel upstairs rented rooms by the hour.  Owned by Nick Papanicolas. ""But the Naples was there forever.  It was there when I arrived in DC in 1956.""--Franklin Kameny.    Listed at 1209 in the 50s but at 1227 (under the Terminal Hotel) in 1970s.  James Papanicolas took over after his father Nick died in 1971.  In 1980, Eddie Regina, a waiter was charged by the FBI with trying to blackmail former congressman Robert Bauman.  After Naples closed, Papanicolas opened JP’s on Wisconsin Avenue.  (See entries for Famous Faces, Famous Restaurant, JP’s.)","M","","12/1/1955","Sep-85","55","85",1950,1980,"",-77.0284763,38.900673,"1970"
"Naples Café","1227 New York Ave NW Washington DC","Club/Bar","Part of the bus station scene.  A ""hustler bar"", The Terminal Hotel upstairs rented rooms by the hour.  Owned by Nick Papanicolas. ""But the Naples was there forever.  It was there when I arrived in DC in 1956.""--Franklin Kameny.    Listed at 1209 in the 50s but at 1227 (under the Terminal Hotel) in 1970s.  James Papanicolas took over after his father Nick died in 1971.  In 1980, Eddie Regina, a waiter was charged by the FBI with trying to blackmail former congressman Robert Bauman.  After Naples closed, Papanicolas opened JP’s on Wisconsin Avenue.  (See entries for Famous Faces, Famous Restaurant, JP’s.)","M","","12/2/1955","Oct-85","55","85",1950,1980,"",-77.0287596,38.9005757,"1970"
"New Yorker","1212 New York Ave NW Washington DC","Club/Bar","","M","","1970","?","70","",1970,1970,"",-77.0287737,38.9001566,"1970"
"Olympic Baths","1405 H St NW Washington DC","Club/Bar","Second to open of the three main 70s era bathhouses, and second to close in the 80s  (followed the Regency in both cases)","M","","11/1/1977","Aug-85","77","85",1970,1980,"",-77.03261,38.9002174,"1970"
"Oscar's Eye Theatre","811 Pennsylvania Ave NW Washington DC","Community Site","On the 3rd floor in Louis' building, the gay theatre was supported by the Academy Awards drag groups.","M","","5/1/1975","?","75","",1970,1970,"",-77.0238407,38.8938418,"1970"
"Pastimes Pub","1703 Connecticut Ave NW Washington DC","Club/Bar","","M","","1970","?","70","",1970,1970,"",-77.0452515,38.9129015,"1970"
"Piccolo's","800 D NW Washington DC","Club/Bar","Country & western bar","M","","1979","1982","79","82",1970,1980,"",-77.0230635,38.8947964,"1970"
"Pink Elephant","436 11th St NW Washington DC","Club/Bar","Bar at the Hotel Harrington known as a place where hustlers and their clients met.","M","","1956","1982","56","82",1950,1980,"",-77.0276735,38.8959519,"1970"
"Plain Brown Wrapper","1210 New York Ave NW Washington DC","Community Site","Part of the bus station 'strip'. Long running porn book, film, and magazine shop","M","","6/1/1977","?","77","",1970,1970,"",-77.028909,38.9003971,"1970"
"Plus One","529 8th St SE Washington DC","Club/Bar","First gay-owned bar to offer same-sex dancing.  Essentially broke the owner ban on dancing.  It was an immediate success. Owners: Henry Hecht, Donn Culver and Bill Bickford.  ""The Plus One, the first of the super bars then appearing saw what was going on, and saw what the future held, put in a dance floor, and dancing in gay bars was here to stay”—Franklin Kameny.  “Just a storefront from the street, the interior was decorated with gilded empty picture frames”—Peter Jefts.  Just Us:  “The Plus One is the first of the Capital City’s superbars, and is still a front runner in many ways.  Weekends, breakfast is served from 3:00 am to  6:00 am.  Happy Hour continues seven days a week.  18-year olds are welcome.  Membership in the Gatsby Club is ten dollars annually.  The Gatsby Club offers members half-price admission to the Thursday night shows, free movies, and often, breakfast and buffets.  The crowd is predominantly gay but otherwise mixed.”","M","","1968","Mar-73","68","73",1960,1970,"BarracksRow",-76.9953419,38.88189,"1970"
"Pub 9","527 8th St SE Washington DC","Club/Bar","Blade (August 1970): ""A new leather bar … will open at 527 8th St SE","M","","9/1/1970","1972","70","72",1970,1970,"",-76.9953419,38.88189,"1970"
"Rascals","1520 Connecticut Ave NW Washington DC","Club/Bar","Rascals was one of Dupont's major show and dance bars for more than a decade.  Amateur drag shows, hosted by Sparkle MaHaris among others, started many female impersonators' careers.  The top floor (called Shooters) had nude male dancers (also with a separate entrance from the alley).  License suspended in June 92.  December 92, Riggs Bank which owned the building, limited lease renewal to only 1 year.  Rascals decided to close and move across the street.  Owner: Billy Mann.","M","","1979","Dec-92","79","92",1970,1990,"",-77.0442022,38.9107085,"1970"
"Red House","1247 20th St NW Washington DC","Club/Bar","","M","","1972","?","72","",1970,1970,"",-77.0446522,38.9069679,"1970"
"Regency Baths","413 L St NW Washington DC","Club/Bar","The first gay-oriented bathhouse to open after the Riggs-Lafayette Turkish Baths closed.  David Harris, owner, opened the baths in an old warehouse.  ‘Liz Taylor’ and ‘Judy Garland’ of the Oscars drag group helped in setting up and decorating the baths.  There was a large Roman style mural in the bath area.  Harris had many run-ins with the police who regularly harassed the Regency.  On several occasions the Regency has special women-only nights.  Annual memberships were $12 and the nightly cover was $3.  The Regency was known in later days as a 'hustler' bathhouse, but also as a place where 'street people' could stay the night.  It was indicted as a 'bawdy house' in the 70s and Harris paid a $500 fine. The first of the bathhouses to close during the AIDS epidemic.  Harris also opened Regency bathhouses in Miami, Norfolk, and Boston.  Just Us:  “The Regency is a club open to members only, but membership is open to anyone.  Rates are fifteen dollars a year and are payable in installments.  The club is open 24 hours a day.”","M","","1968","1985","68","85",1960,1980,"",-77.0164607,38.9038898,"1970"
"Rendezvous Lounge","430 8th  St SE Washington DC","Club/Bar","Country-western bar briefly replaced JoAnnas.","M","","Sep-72","?","72","",1970,1970,"",-76.994648,38.882875,"1970"
